Sno,Text
102,RT @chandan_sh: जब दो कौड़ी के लोग भी प्रधानमंत्री पर गन्दी कटाक्ष करें तो फिर आप ये नहीं कह सकते की देश में असहिष्णुता है। https://t.co/Y0…
103,"RT @newsflickshindi: हम मेक इन इंडिया का दंभ भरते हैं, लेकिन अपने ज्‍़यादातर हथियार बाहर से मंगाते हैं..https://t.co/yZLHJlsH6Z https://t.c…"
104,"RT @khushi2434: लगता है ""विजय माल्या"" का ट्वीट अब असर करने लगा है कुछ लोगो को अब मिर्ची लगने लगी है  https://t.co/q1Doo4yeZm"
105,RT @HindKhabar: @narendramodi के कार्यक्रम के 25 पास गायब होने से मचा हडकंप https://t.co/34kAajgPFh #BJP #India https://t.co/FdqHCsz08e
106,#लुकआउट नोटिस को मजाक बना रही है #मोदी सरकार https://t.co/Cg2SdQRrGo https://t.co/qgOBJbvg3d
107,"RT @rajans0208: @narendramodi RA GA-मम्मी मे पप्पू था आप भी पप्पू हो गई,आपने मुझे हैदराबाद-JNU जाने से क्ये नही रोका,Aunty India @smritiira…"
108,"कविता ""बकवास"" plz #DNA #Talthokke @sudhirchaudhary @ZeeNews @sudhirchaudhary @sardanarohit @aditi_tyagi @Mimansa_Zee https://t.co/waZ5Fuzzuf"
109,RT @rajans0208: @narendramcdi @Ajit_Dobhal V don't need JNUs in India But BHUs जहाँ छात्र को योगी बनाया जाए न की भोगी नेहरू ने हमे भिखारी ब…
110,@PrabhuChawla जबसे मेक इन इंडिया(Make In India) का नारा लगा है . . देश के दुश्मन भी देश में ही बनने लगे है......... :(
111,"RT @newsflickshindi: हम मेक इन इंडिया का दंभ भरते हैं, लेकिन अपने ज्‍़यादातर हथियार बाहर से मंगाते हैं..https://t.co/yZLHJlsH6Z https://t.c…"
112,आज़ाद जी आपने सिद्ध कर दिया की आप वाकई गुलाम है मानसिकता से @OfficeOfRG @ZeeNews @TimesNow https://t.co/pFocdyOtCN
113,"RT @indiasamvadhind: मिलिए एक और #VijayMallya से, जो बैंकों के ढाई हजार करोड़ लेकर हुआ अंडरग्राउंड #breaking #kailashagarwal https://t.co…"
114,"#news#aaj tak#india इंफाल में दो बम धमाके, एक घायल https://t.co/MzVL3uIVWd"
115,"RT @BeingMSD: एक दलित की भैंस बीमार है और एक अल्पसंख्यक को ज़ुकाम है पहले उनकी सुध ले ले, सड़क तो बाद मे भी बन जाएगी https://t.co/nsrMkDCU…"
116,RT @indiatvnews: छत्तीसगढ़: भालू के हमले में डिप्टी रेंजर समेत 3 की मौत... https://t.co/nCeaBjuAEk https://t.co/NUJsBQBp9h
117,RT @abtwitts: लो कर लो बात। आज की नारी की असलियत। इन्हें चाहिए पुरुषोंका सिर्फ पैसा! वाह रे उपरवाले बचा ले पुरुषोंको!! https://t.co/iF80GUf…
118,RT @ZeeNewsHindi: जैसे आरएसएस का विरोध करते हैं उसी तरह आईएसआईएस का विरोध करिए: आजाद https://t.co/1jaGPXbOOR
119,RT @abpnewshindi: LIVE : अदालत ने सामान्य लोगों को मजबूद बनाया है  @narendramodi https://t.co/XZyL9X33hI #PatnaHighCourt https://t.co/L…
120,"RT @ZeeNewsHindi: विराट कोहली से ब्रेकअप पर अनुष्का शर्मा के करीबी दोस्त का खुलासा, पैसे के लिए रिश्ते में आई दरार https://t.co/FT6CKVzsWe"
121,"मुट्ठी भर लोग आग उगल रहे हैं, लगाम कसे सरकार: जमीयत-उलेमा-ए-हिंद!... धार्मिक-मजहबी कट्टरता विरोधी अभियान चले!! https://t.co/QMz8QwNQ0U"
122,"गुलाम नबी आजाद ने RSS की तुलना ISIS से की, बीजेपी और संघ की तीखी प्रतिक्रिया - एनडीटीवी खबर https://t.co/poGcL17h6H #India"
123,RT @sahilsoni564: ...करो या मरो... रामलीला मैदान भरो दिल्ली चलो..17 मार्च ⚡एक्साइज ड्यूटी व कर के विरोध मे...⚡ सराफा एवं ज्वैलर्स एशोसिएस…
124,LiveNews24x7: #BreakingNews मीटिंग में JDS वर्कर ने महिला को जड़ा थप्पड़ https://t.co/M9yfR51Kyh https://t.co/LEw30ih8wS
125,"RT @MediaVsIndia: रंडवे, तेरे #RSS वाले बाप ने काबुल किया है वो #ISI से पैसे लेता है, अनपढ़ मंदबुद्धि सूअर! https://t.co/YOqGssaQdM https:/…"
126,"RT @kiran_patniak: गुलाम नबी आजाद ने RSS की तुलना ISIS से की, बीजेपी और संघ की तीखी प्रतिक्रिया!!.. सही कहा! https://t.co/zE6gxQGSfW"
127,RT @dwivedijispeaks: चूतिये क्या मंगल ग्रह से आते है... अगर ऐसा आप सोचते है तो गलत है ... सच मे चूतिये को देखना है तो @Joydas ko dekho htt…
128,मुसलमानो के खिलाफ सरकार के आयुष मंत्रालय का सनसनीखेज खुलासा https://t.co/Ab2HX5CtXf #Muslims https://t.co/lgjH7kZgJR
129,#India | #भारत सज़ा! 6 साल के बच्चे को नंगा करके खड़ा किया https://t.co/YYUoYXUThC
130,RT @AnjuNagarajan: खेतों में पॉटी करनेवाले के नसीब में  आया। CM के चपरासी होने की औकाद नही वो CM बना तो ऐसी बेहूदा बाते तो करेगा ही  htt…
131,श्री श्री झूट बोलने से पहले ये ट्वीट तो उड़ा देता #चोरों_का_चौकीदार @SriSri https://t.co/MO1irjuuY5
132,@khushi2434 पाकिस्तान का भगोड़ा आडवाणी India का नमक खाकर पाकिस्तान में जिन्ना की कब्र पर BJP की तारीफ करता#. Stp पर सास बहू आपने फोकट किया 
133,RT @MediaVsIndia: क्या आप नवाझ शरीफ की नाजायज औलाद @sudhirsingh2011 से मिले है जिसका बाप #फेंकू पाकिस्तानी #ISI से पैसे लेता है? https://t.…
134,"RT @DJ22VJ: Mr @BJPRajnathSingh &amp; @narendramodi आप यहाँ एक उदाहरण प्रस्तुथ कर सकते है, पर क्या करे आप तो फट्टू हैं  https://t.co/gBUalnGx…"
135,मुसलमानों की पढ़ाई में रोड़े अटका रही है मोदी सरकार https://t.co/n1vsBxllhl https://t.co/xslhR4IzyA
136,RT @MediaVsIndia: नवाज शरीफ की नाजायज औलाद संघी हिजड़े @sudhirsingh2011 का शुक्रिया! उसकी वजह से #RSS-#ISI का लिंक 25 बार पोस्ट किया! http…
137,RT @MediaVsIndia: भगवान से प्रार्थना है @sudhirsingh2011 जैसे हिजड़े रोज मिले और याद दिलाये बताने के लिए की #RSS #ISI से पैसे लेता है! http…
138,मुसलमानों की पढ़ाई में रोड़े अटका रही है मोदी सरकार https://t.co/n1vsBx3KpN https://t.co/Bn8j7dxVct
139,RT @abtwitts: लो कर लो बात। आज की नारी की असलियत। इन्हें चाहिए पुरुषोंका सिर्फ पैसा! वाह रे उपरवाले बचा ले पुरुषोंको!! https://t.co/iF80GUf…
140,RT @MediaVsIndia: संघी हिजड़े @sudhirsingh2011 की वजह से #RSS-#ISIनाजायज़ रिश्ते का लिंक 25+ बार पोस्ट किया! खबर ज्यादा फैलेगी! https://t.…
141,RT @MediaVsIndia: भगवान से प्रार्थना है @sudhirsingh2011 जैसे हिजड़े रोज मिले और याद दिलाये बताने के लिए की #RSS #ISI से पैसे लेता है! http…
142,"RT @DJ22VJ: Mr @BJPRajnathSingh &amp; @narendramodi आप यहाँ एक उदाहरण प्रस्तुथ कर सकते है, पर क्या करे आप तो फट्टू हैं  https://t.co/gBUalnGx…"
143,RT @MediaVsIndia: भक्तों के प्रिय @ZeeNews का कहना है की पाकिस्तानी कुत्ते @sudhirsingh2011 के #RSS वाले बाप #ISI से पैसे लेते है! https://…
144,"@KshitijDisIz ye hk,zimb ke match dikha rahe hai aur india ka nhi "
145,जैसा नाम वैसा काम।सचमुच में इनके दिमाग में गोबर है। isis का सम्मान करना सोनिया औए राहुल गांधी का काम है https://t.co/gV360KWFFS
146,मुसलमानों की पढ़ाई में रोड़े अटका रही है मोदी सरकार https://t.co/n1vsBxllhl https://t.co/yMJpACyzhb
147,"बिकाऊ मीडिया जितना समय हिन्दू-संतो को बदनाम करने मे लगाता है, उतना समय काला-धन जैसे जन-हित के मुद्दो को क्यो नही देता? #Media420"
148,"@king_ranjhna पत्रकारिता हमारे देशके कर्णधारों का दुर्भाग्य, ऐसे अखबारोंका सरकार बाल भी बांका नहीं कर पाती #Media420 https://t.co/xdNvWjrcVf"
149,@king_ranjhna #Media420 न शरम न मलाल जागो भारतवासियों आखिर कब कसेगी सरकार लगाम बिकाऊ मीडिया और मनमाने ट्रायल्स पर? https://t.co/7OdXzQXJ40
150,@mranjay5 @ShivAroor #Media420 ने देश की संस्कृति को उखाड़ने का जो MNC's व Missionaries से ठेका लिया उससे देश की गरीमा को ठेस पहुची है!
151,@abpnewshindi चुप कर रे देश द्रोही चैनल
152,ऐसे लोग कांग्रेस के लिए दुखदाई साबित हो सकते है जो पद लेकर महिलाओ से रातोरात अश्लील चेट करे समझना चाहिए ऐसे ही लोग कलंक है पार्टी और समाज पर
153,कैलेंडर तो इस बार भी छपेगा माल्या का.. लेकिन इस बार मॉडल्स की जगह बैंकर्स नंगे होंगे..
154,सामान्य लोगो को किस तरह फसाते है कुछ कांग्रेसी नेता है पता नही क्या देखकर इन्हें पद दिया जाता है समझ नही आता जो महिलाओ से काम के बहाने 1/2
155,@chetnahyd @gavi मीडिया भारतीय संस्कृति को ही खत्म करने में लगा है। भारतीय मीडिया विदेशी पैसों से चलता है! #Media420 https://t.co/5k6Q1jczzW
156,@abhayose1 @AmdAshram लगता है #Media420 का उसी खबर में इंटरेस्ट है जिसमे वह दूसरे को ब्लैकमेल कर पैसा ऐंठ सके। https://t.co/p2XzglU0xH
157,कांग्रेस में कुछ छूट भैय्यो की वजह से पूरी पार्टी को बुरा नही बनाया जा सकता कांग्रेस वो पार्टी है जिसने अपनों को देश पर कुर्बान होते देखा है
158,महिलाओ से रात में अश्लीलता फेलाए ऐसे में एक देशभक्त पार्टी की तो जग हसाई होगी कैसे अश्लीलो को पद दिया गया पद देने वालो की योग्यता पर शक है
159,उनको अपने जाल में फसाए आखिर किस बिहा पर ऐसे लोगो को कांग्रेस में जगह दी गई है कांग्रेस जमीनी स्तर के कार्यकर्त्ता से चल रही है ना की नेता से
160,"@deepikakhuran11 मीडिया चौथा-स्तंभ ना बनकर, संतो के अपमान का ज़रिया बनता जा रहा है ! ख़ास-तौर पर इलेक्ट्रॉनिक मीडिया !#Media420"
161,@Kkmishraonline सर हद हो गई कांग्रेस में होकर कुछ लोग यहा ऐसी हरकते कर रहे है के उन्हें अपने पद की भी गरीमा नजर नही आती ये तो अयोग्यता है सर
162,@ArvindKejriwal अपने चमचो को समझाओ गुंडागर्दी करते फिरते हे
163,"मीडिया को निष्ठापूर्वक, राष्ट्र समर्पण की भावना के साथ जनहित के लिए कार्य करना चाहिए, पर वे ठीक विपरीत कार्य क्यों करते हैं? #Media420"
164,@gauravkrishnag बिहारीजी की हरकतें देख कर कभी कभी मोद में अनायास ही मुँह निकल पड़ता है -हे 'भगवान'! क्या होगा इसका। 
165,#आपकीबात विजय माल्या का देश से भाग जाना मोदी सरकार और जांच ऐजंसियो की कमजोरी का प्रर्दशन है
166,@AAPVind @sanjaiuwach @500Urvashi @MediaVsIndia @Maddy_Saheb तेरे जैसे लुच्चे से डर गया मै हहह
167,@rgu009 @A_1Soni #Media420 के ब्रेनवाश का ही नतीजा है की हिन्दू संस्कृति विमुख हो रहे हैं। https://t.co/dHf58vlhD4
168,"राष्ट्र सेवा के लिए सभ्य पत्रकारिता होनी चाहिए, लेकिन आज मीडिया में असभ्यता अपनी चरम पर है । #Media420 https://t.co/Enr5r5Ab5J"
169,RT @abpnewshindi: OROP: पूर्व सैनिक अधिकारी की गिरफ्तारी पर भड़की आप https://t.co/5z8jjXO9vq
170,शर्म ( RSS ) नहीं आती ; https://t.co/TDPWnBNkFc
171,चीन की सेना भारत का सीना रौंदती रही और प्रधानमंत्री संगीत में मस्त रहे https://t.co/IwOyW39fYE https://t.co/BHKRUpyOKS
172,Delhi ACB पे पैरामिलिट्री से कब्ज़ा करने वाला मोदी #चोरों_का_चौकीदार है https://t.co/II31u6Fhpc
173,RT @jhalli_arti: India में लड़कियाँ girlfriend बाद में बनती हैं भाभी पहले बन जाती हैं :( :( :(
174,धोखाधड़ी के लिए 164 चिटफंड कंपनियों के खिलाफ जांच जारी https://t.co/FVGg8oSBUl https://t.co/TczF1Gp77b
175,RT @tufailelif: .@Zubair_BBC: अफ़सोस कि वरिष्ठ पत्रकार भी अपना संतुलन खोकर इस भाषण की जय-जयकार कर रहे हैं. https://t.co/QXjf2ukVrI
176,RT @MediaVsIndia: संघी हिजड़े @sudhirsingh2011 की वजह से #RSS-#ISIनाजायज़ रिश्ते का लिंक 25+ बार पोस्ट किया! खबर ज्यादा फैलेगी! https://t.…
177,RT @MediaVsIndia: नवाज शरीफ की नाजायज औलाद संघी हिजड़े @sudhirsingh2011 का शुक्रिया! उसकी वजह से #RSS-#ISI का लिंक 25 बार पोस्ट किया! http…
178,#BreakingNews हनी ट्रैपः बंदरिया के चक्कर में 'फंस' रहे बंदर https://t.co/afs9PiEEpU
179,"RT @koolanand: ""Go Back Modi"" कहते कहते ""Go back India"" तक चले आये !!!! स्वामी विवेकानन्द को गाली देने वाले अफजल गुरु के जयकारे लगाने लगे !…"
180,RT @MediaVsIndia: संघी हिजड़े @sudhirsingh2011 की वजह से #RSS-#ISIनाजायज़ रिश्ते का लिंक 25+ बार पोस्ट किया! खबर ज्यादा फैलेगी! https://t.…
181,"RT @khushi2434: लगता है ""विजय माल्या"" का ट्वीट अब असर करने लगा है कुछ लोगो को अब मिर्ची लगने लगी है  https://t.co/q1Doo4yeZm"
182,@AAPInNews @Georgekurian4K ठग सरकार
183,"@SamirSahoo8 @comcast Dr Subramanian Swamy-'भारत की मीडिया के मालिक स्वदेशी हो, विदेशी नहीं' #Media420 https://t.co/Bh1E6VDWgy"
